"id","asset","endDate","owner","percentage","startDate","alephUrl","sharesCurrency","date","description","namesMentioned","indexText","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"03550a0bef9e1eff8ddf828d14a7cf1a40a1d587","576f041c94dc6b0a48cd99c8d98c0b708a8c0729","","7102118e771845320d88af196e29375455eb41f6","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03668561a372951ae4d2bde29b20a1b33e74eee8","2553acb238c574b412494e8c42cb40c9b881c8ce","","cb0e9dff4f942e3df47e537918efb8fd1ff31e74","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"039c8eec07c9dd0b906d3aa317601cd67a95a703","bd040177b19880879717791506e6a12fe1a05dfb","","b918dd7b44f0f8fc0b78cebe3a03ba91e9841d4b","","","","","","","","","","","","","","","","","","","","UNBESCHRÄNKT HAFTENDER GESELLSCHAFTER","",""
"03a94d089741c8fdf777743675250a6dbfb68c9c","a9731d125950c416a2df49f33d17567b18caf98c","","bc6fd916809eee44ce63b03a4221c0f99f2ea32c","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03c69466e424a75da536c6386cabd4c650457dcf","3d539af59cf80d9bd6711db32a1c32969a115db5","","3103886279fea57b176a517db45da1b9400aab5e","99.98","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03cdf55b4e059592986c76b6d5a514bcfa547c6d","c2f6316140e2b47be815ac4d3c86e4327a1e17cf","","c2d64c9e7b0f887c013df20618fcdb3668ceac97","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0400de6b2262b65c0252609afb47c5db56ace80a","b8e8c9ab4571d65293fb78756272d7e583d4b876","","bd66e4a4b3d7475b2ad7cd16bd48a041a531f6ec","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"04070a9cf038095a286bca75cd0d769763e87387","db0372b46c7826b76d1060fa073c29966fc5f75e","","e9f8e4f4ad5703581e232e62b9f9f137dec1457f","","","","","","","","","","","","","","","","","","","","","",""
"04162ed97d5f704a7818430e23961941992874c8","d0d1b04a7966077fe835e7266a261869bac06b7c","","ac3a9de4ca47af881324091540ba12604ab7f88d","50.34","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0449edec1efb2e98301d5510babf9c90282a4ec5","123ea2457fd5596f5ee1172b3858c916bb324001","","8524f5a8484f8b193cae23c60e948f40d40d9ab3","4.30","","","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"0480c2fd62f67eafe1b9c3e59cc3b7466780c59a","72690b80965a3270e41a1d4f1753ef437b752d20","","959ff98982dbd2f0df4f024bdc372013eec9a020","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"048e2943b27841faa2ab2bddedeab3d758633fa0","5503edf9dedd6935fb07afbb82a60ca9cac8164b","","861f3606bfb41efda4f55c260491983b0722221f","","","","","","","","","","","","","","","","","","","","","",""
"04e03d0d21d1d7b2aaf4a5a24f00964d8441707a","ba639f05170301dfcf05351321d3639b06feff19","","8a7f6b4eea6b9b93ecc9d96660bc1f43474beb50","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"05aaf55e52d89b5adf57eb9baecd0ab7901923cc","ae008b424b665582297dbce09386cfd183e7ca4b","","b930f0e973849f409eb745d3ba528bb04c5bde4e","","","","","","","","","","","","","","","","","","","","UNBESCHRÄNKT HAFTENDER GESELLSCHAFTER","",""
"05b9504de85c219015a26e60efb6f351ef18b24e","e4d19294dacc2b0921c5327406159cf0dcbada59","","69783a177e60f52d42cb9465a0406077e8b9432c","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
