"id:ID",":LABEL","caption","name","incorporationDate","jurisdiction","registrationNumber","address","alephUrl","amount","amountEur","amountUsd","bikCode","bvdId","coatoCode","caemCode","capital","classification","country","mainCountry","currency","dunsCode","description","dissolutionDate","email","fssCode","fnsCode","icijId","idNumber","innCode","ipoCode","irsCode","jibCode","kppCode","keywords","legalForm","mbsCode","modifiedAt","notes","ogrnCode","okopfCode","okpoCode","oksmCode","okvedCode","opencorporatesUrl","alias","pfrNumber","phone","previousName","program","publisher","publisherUrl","retrievedAt","cikCode","swiftBic","sector","sourceUrl","status","summary","taxNumber","taxStatus","topics","vatCode","voenCode","weakAlias","website","wikidataId","wikipediaUrl","ibcRuc"
"entity:a562f34dba05e46a2c02c31f221c760a3f68f838","Value;Organization;Company;Thing;LegalEntity;Asset","Biomasse-Heizwerk Lech GmbH & Co KG","Biomasse-Heizwerk Lech GmbH & Co KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=190087s","","",""
"entity:a57e13dbf99fd7a834530f3c7917be4856fe9e1b","Value;Organization;Company;Thing;LegalEntity;Asset","Luisa Skalicky OG","Luisa Skalicky OG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=490673d","","",""
"entity:a59d2910d82d438c407026e5e4cb69983afd1c85","Value;Organization;Company;Thing;LegalEntity;Asset","Ohridska Banka AD","Ohridska Banka AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a5dba76453ce066535c66f5fb9511eaa11006659","Value;Organization;Company;Thing;LegalEntity;Asset","CP Immo Solutions GmbH","CP Immo Solutions GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=325276y","","",""
"entity:a5fc2e35ee8ef2f77c9a09b83b8aa02a501df0f1","Value;Organization;Company;Thing;LegalEntity;Asset","Linzer Veranstaltungsgesellschaft m.b.H.","Linzer Veranstaltungsgesellschaft m.b.H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.liva.at/","","",""
"entity:a65ef8e241f48b23c9462221c1285dcdaae976d9","Value;Organization;Company;Thing;LegalEntity;Asset","Kraftwerk Dientenbach GmbH","Kraftwerk Dientenbach GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=339601p","","",""
"entity:a6798c1a9e1654831d04460c500f46f6ffa95fa9","Value;Organization;Company;Thing;LegalEntity;Asset","IMMO-CONTRACT Oberösterreich Maklergesellschaft m.b.H.","IMMO-CONTRACT Oberösterreich Maklergesellschaft m.b.H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=214528h","","",""
"entity:a68a857e2b024927c8c37765b4f6087ad9c4265e","Value;Organization;Company;Thing;LegalEntity;Asset","RLG Rübenlogistik GmbH","RLG Rübenlogistik GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=135330s","","",""
"entity:a69a87385398d41c6c27c05af200178ecb35bb8c","Value;Organization;Company;Thing;LegalEntity;Asset","Fontana Hoffeldstraße 4 GmbH & Co KG","Fontana Hoffeldstraße 4 GmbH & Co KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=561227i","","",""
"entity:a6c75f79fb797a9e5d5e6554341bde8fe7af5a59","Value;Organization;Company;Thing;LegalEntity;Asset","bluestep.com IT-Services GmbH","bluestep.com IT-Services GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entity:a6e95fd8bd98951db8a9506481c912f8054b8ead","Value;Organization;Company;Thing;LegalEntity;Asset","Ennskraftwerke Aktiengesellschaft","Ennskraftwerke Aktiengesellschaft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=120021b","","",""
"entity:a6ee878543e7c0faddfa8cc4b327b4ff31841194","Value;Organization;Company;Thing;LegalEntity;Asset","MPREIS Warenvertriebs GmbH","MPREIS Warenvertriebs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.mpreis.at/; https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=043603y","","",""
"entity:a70256fa69a65a1caee392357bedb32c7b8581f9","Value;Organization;Company;Thing;LegalEntity;Asset","SB Liegenschaftsverwertungs GmbH","SB Liegenschaftsverwertungs GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.firmenbuchgrundbuch.at/fbgb/easy/fb/documents?affiliate=10&inputCommercialRegisterNumber=375316k","","",""
