"id",":TYPE",":START_ID",":END_ID","endDate","percentage","startDate","alephUrl","sharesCurrency","date","description","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"02dc7ec8f9a248fc4da0cbb71b82d24550a70f76","OWNERSHIP","entity:39159473330ff842969b4c5b163975a32f41e853","entity:3c19786e26881a5468423a00d65d7d3b09da6b12","","74.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"030180d0d67c4f625e4b286a0c5b333318155ad4","OWNERSHIP","entity:cdbe94b975a4abf82d7e0ff47c5a11737eb6a455","entity:81187208f46046ced0d1fa69a2be558bd4076fb5","","100.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"030a96b2747aa5447706402c9c8f07cb0bede6c9","OWNERSHIP","entity:e7f5e2bcfbd42e366370e3d1621490227fb31ff7","entity:837a89eb1a3596fbd63c5f0049e81c8b814f100c","","24.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"032beafdd49dc34e6c5e909e44fffd500c6d00ea","OWNERSHIP","entity:d6f5378f1ab9e59d613ef3115ccb3595499db98d","entity:f4707af38e8cf9aba47445e98eed915b666940d2","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0335897a12a67d3057111a8bc59556041494fe79","OWNERSHIP","entity:20580b43a02236bcf763b30fc47ce1118bd41bcb","entity:2330f715b94f358139980e88a121b5f0b1557b17","","5.81","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03440f789f281643467acc9bf45968f7aad64bf1","OWNERSHIP","entity:bf07aafc75d928f82f42bf8e2a1eda9d812acbe2","entity:0d6fe31ebf393ec9f0339a7b61ebf11cc7b0af0b","","3.71","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"034cda04b8dbb68955b7857cdbd2456aeaee5bdb","OWNERSHIP","entity:2e9fe1dad3ecfd7af5b32fc536b36eb281516ac7","entity:051e63f2bd43bba3492d353e255e39be079b9a72","","51.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03550a0bef9e1eff8ddf828d14a7cf1a40a1d587","OWNERSHIP","entity:7102118e771845320d88af196e29375455eb41f6","entity:576f041c94dc6b0a48cd99c8d98c0b708a8c0729","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"03668561a372951ae4d2bde29b20a1b33e74eee8","OWNERSHIP","entity:cb0e9dff4f942e3df47e537918efb8fd1ff31e74","entity:2553acb238c574b412494e8c42cb40c9b881c8ce","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"036a0bc97d40c5b9af852518628709de6298b9db","OWNERSHIP","entity:3fd627fb4b0ec8f0c5155c1ba2e0bfbcbd34c629","entity:cc60eeec9d8dd936222d1b6bfaa902a5f823e715","","","","","","","","","","","","","","","","","","","","",""
